enroll,priv,police,crime,lcrime,lenroll,lpolice
21836,0,24,446,6.1003189,9.9913149,3.1780539
6485,0,13,1,0,8.7772474,2.5649493
2123,0,3,1,0,7.6605854,1.0986123
8240,0,17,121,4.7957907,9.0167561,2.8332133
19793,0,30,470,6.1527328,9.8930836,3.4011974
3256,1,9,25,3.2188759,8.0882549,2.1972246
11990,0,20,67,4.2046928,9.3918285,2.9957323
42615,0,44,1327,7.1906762,10.659962,3.7841897
5112,1,7,43,3.7612002,8.5393457,1.9459101
17689,0,18,484,6.182085,9.7806978,2.8903718
29088,0,21,170,5.1357985,10.278081,3.0445225
35210,0,32,1145,7.04316,10.469086,3.4657359
4481,1,5,54,3.9889841,8.4076014,1.6094379
13570,1,6,82,4.4067192,9.5156164,1.7917595
18772,0,12,468,6.1484685,9.8401213,2.4849067
17572,0,11,491,6.196444,9.7740622,2.3978953
15669,0,10,499,6.212606,9.6594391,2.3025851
10359,0,12,186,5.2257466,9.2456112,2.4849067
19820,0,16,684,6.5279579,9.8944464,2.7725887
8173,1,2,65,4.1743875,9.0085917,.69314718
7910,1,17,326,5.7868972,8.9758835,2.8332133
30796,0,74,1712,7.4454174,10.33514,4.3040652
24011,0,47,1384,7.2327332,10.086267,3.8501475
16897,0,24,781,6.6605749,9.7348909,3.1780539
17812,0,16,395,5.9788857,9.7876272,2.7725887
11188,0,8,124,4.8202815,9.3225975,2.0794415
23958,0,21,568,6.3421216,10.084058,3.0445225
23958,0,14,411,6.0185933,10.084058,2.6390574
12412,0,8,140,4.9416423,9.4264193,2.0794415
2746,1,5,157,5.0562458,7.9179006,1.6094379
21779,0,9,152,5.0238805,9.9887018,2.1972246
31804,0,22,170,5.1357985,10.367348,3.0910425
42790,0,48,1962,7.5817199,10.66406,3.871201
6921,0,48,178,5.1817837,8.8423157,3.871201
8652,0,14,194,5.267858,9.065546,2.6390574
12530,0,15,106,4.6634393,9.4358807,2.7080503
6271,0,8,90,4.4998097,8.7436914,2.0794415
35343,0,26,2052,7.6265702,10.472856,3.2580965
27901,0,25,580,6.363028,10.236418,3.2188759
56350,0,36,1372,7.2240248,10.939338,3.583519
11382,0,63,276,5.6204009,9.3397884,4.1431346
24620,0,25,935,6.8405466,10.111315,3.2188759
11967,0,11,89,4.4886365,9.3899078,2.3978953
7116,0,19,17,2.8332133,8.870101,2.9444389
7758,0,12,42,3.7376697,8.95648,2.4849067
11739,0,20,83,4.4188404,9.3706722,2.9957323
5488,0,16,144,4.9698133,8.6103191,2.7725887
9831,0,28,302,5.7104268,9.1932955,3.3322046
33376,0,60,896,6.7979403,10.415592,4.0943446
9689,1,26,175,5.1647859,9.1787462,3.2580965
4720,1,7,62,4.1271343,8.4595642,1.9459101
18685,0,19,525,6.2633982,9.8354759,2.9444389
18607,0,32,414,6.025866,9.8312931,3.4657359
24525,0,27,495,6.2045579,10.107449,3.2958369
8940,0,5,38,3.6375861,9.0982904,1.6094379
16318,0,35,444,6.0958247,9.7000237,3.5553482
54311,0,51,1839,7.5169773,10.902482,3.9318256
18688,0,24,361,5.8888779,9.8356371,3.1780539
30051,0,50,1202,7.091742,10.310651,3.9120231
24947,0,27,294,5.6835799,10.124509,3.2958369
15164,0,21,145,4.9767337,9.6266794,3.0445225
5803,0,6,50,3.9120231,8.6661301,1.7917595
19770,0,27,351,5.8607864,9.891921,3.2958369
2167,0,8,85,4.4426513,7.6810989,2.0794415
3850,0,7,47,3.8501475,8.2558289,1.9459101
21250,0,26,691,6.5381398,9.9641123,3.2580965
6209,0,10,118,4.7706847,8.7337551,2.3025851
8165,0,14,103,4.6347289,9.0076122,2.6390574
1799,1,9,44,3.7841897,7.4949861,2.1972246
14620,0,19,239,5.4764633,9.5901461,2.9444389
6555,0,14,202,5.3082676,8.7879829,2.6390574
3712,0,8,58,4.0604429,8.219326,2.0794415
3290,0,11,64,4.1588831,8.0986433,2.3978953
2446,0,5,43,3.7612002,7.8022094,1.6094379
4100,0,6,53,3.9702919,8.3187418,1.7917595
38989,0,48,969,6.8762646,10.571034,3.871201
5363,0,12,129,4.8598123,8.5872784,2.4849067
26266,0,48,728,6.590301,10.17603,3.871201
1859,0,31,246,5.5053315,7.5277939,3.4339871
25135,0,25,456,6.1224928,10.132016,3.2188759
49961,0,65,982,6.8895912,10.818998,4.1743875
8980,0,9,72,4.2766662,9.1027555,2.1972246
16798,0,15,252,5.529429,9.7290154,2.7080503
15759,0,14,169,5.1298985,9.6651669,2.6390574
10654,0,9,233,5.4510384,9.2736902,2.1972246
5861,0,1,55,4.0073333,8.6760759,0
9034,0,7,113,4.7273879,9.1087503,1.9459101
43030,0,41,1228,7.113142,10.669653,3.713572
26040,0,32,347,5.8493247,10.167389,3.4657359
11790,0,12,170,5.1357985,9.3750067,2.4849067
5141,0,10,114,4.7361984,8.5450029,2.3025851
5601,0,7,90,4.4998097,8.6307001,1.9459101
3176,0,4,56,4.0253515,8.0633774,1.3862944
10992,0,9,187,5.2311087,9.3049231,2.1972246
5034,1,7,15,2.7080503,8.5239706,1.9459101
7710,1,5,426,6.0544395,8.9502735,1.6094379
20693,0,32,616,6.4232469,9.9375505,3.4657359
